  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.576     Re =     3.396 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7092   0.00811   0.00374  -0.0130   0.8885   0.0447
  -4.750  -0.6731   0.00788   0.00345  -0.0116   0.8706   0.0510
  -4.500  -0.6371   0.00766   0.00318  -0.0104   0.8510   0.0590
  -4.250  -0.6013   0.00747   0.00293  -0.0092   0.8300   0.0681
  -3.750  -0.5300   0.00709   0.00247  -0.0072   0.7864   0.0928
  -3.500  -0.4944   0.00692   0.00227  -0.0064   0.7630   0.1083
  -3.250  -0.4590   0.00676   0.00209  -0.0056   0.7395   0.1260
  -3.000  -0.4238   0.00658   0.00191  -0.0048   0.7160   0.1472
  -2.750  -0.3885   0.00644   0.00177  -0.0042   0.6918   0.1682
  -2.500  -0.3534   0.00629   0.00163  -0.0036   0.6687   0.1923
  -2.250  -0.3179   0.00619   0.00151  -0.0031   0.6437   0.2141
  -2.000  -0.2829   0.00606   0.00140  -0.0026   0.6205   0.2403
  -1.750  -0.2475   0.00596   0.00132  -0.0022   0.5970   0.2645
  -1.500  -0.2123   0.00589   0.00124  -0.0018   0.5730   0.2895
  -1.250  -0.1769   0.00581   0.00118  -0.0014   0.5501   0.3136
  -1.000  -0.1416   0.00576   0.00113  -0.0011   0.5263   0.3383
  -0.750  -0.1062   0.00572   0.00109  -0.0008   0.5033   0.3619
  -0.500  -0.0708   0.00568   0.00106  -0.0005   0.4799   0.3862
  -0.250  -0.0354   0.00568   0.00105  -0.0003   0.4565   0.4094
   0.000   0.0000   0.00566   0.00104  -0.0000   0.4336   0.4337
   0.250   0.0354   0.00568   0.00105   0.0003   0.4091   0.4557
   0.500   0.0708   0.00568   0.00106   0.0005   0.3861   0.4800
   0.750   0.1062   0.00572   0.00109   0.0008   0.3619   0.5036
   1.000   0.1416   0.00576   0.00113   0.0011   0.3381   0.5262
   1.250   0.1769   0.00581   0.00118   0.0014   0.3138   0.5500
   1.500   0.2123   0.00588   0.00124   0.0018   0.2895   0.5734
   1.750   0.2475   0.00596   0.00131   0.0022   0.2644   0.5971
   2.000   0.2829   0.00606   0.00140   0.0026   0.2401   0.6206
   2.500   0.3534   0.00629   0.00163   0.0036   0.1920   0.6683
   3.000   0.4238   0.00658   0.00191   0.0048   0.1472   0.7161
   3.250   0.4590   0.00675   0.00209   0.0056   0.1262   0.7397
   3.500   0.4944   0.00692   0.00227   0.0064   0.1084   0.7631
   3.750   0.5300   0.00709   0.00247   0.0072   0.0929   0.7863
   4.250   0.6013   0.00747   0.00293   0.0092   0.0681   0.8299
   4.500   0.6372   0.00766   0.00318   0.0104   0.0590   0.8511
   4.750   0.6731   0.00788   0.00345   0.0116   0.0510   0.8704
   5.000   0.7092   0.00811   0.00374   0.0130   0.0447   0.8886
   5.250   0.7451   0.00837   0.00406   0.0145   0.0391   0.9055
   5.500   0.7813   0.00862   0.00439   0.0162   0.0352   0.9213
   5.750   0.8172   0.00890   0.00476   0.0181   0.0319   0.9357
   6.000   0.8525   0.00924   0.00518   0.0202   0.0286   0.9487
   6.250   0.8883   0.00958   0.00562   0.0225   0.0263   0.9606
   6.500   0.9235   0.01002   0.00615   0.0250   0.0243   0.9715
   6.750   0.9602   0.01056   0.00683   0.0274   0.0227   0.9808
   7.000   0.9995   0.01133   0.00777   0.0295   0.0214   0.9870
   7.250   1.0342   0.01248   0.00915   0.0322   0.0206   0.9936
   7.750   1.0765   0.01730   0.01474   0.0379   0.0193   1.0000
   8.000   1.0613   0.01923   0.01689   0.0456   0.0188   1.0000
   8.250   1.0465   0.02185   0.01975   0.0510   0.0184   1.0000
   8.500   1.0309   0.02520   0.02332   0.0538   0.0180   1.0000
   8.750   1.0148   0.02933   0.02765   0.0541   0.0176   1.0000
   9.000   0.9988   0.03432   0.03282   0.0518   0.0174   1.0000
   9.250   0.9833   0.04009   0.03872   0.0477   0.0172   1.0000
   9.500   0.9680   0.04635   0.04509   0.0428   0.0170   1.0000
   9.750   0.9528   0.05271   0.05153   0.0380   0.0169   1.0000
  10.000   0.9376   0.05904   0.05792   0.0338   0.0168   1.0000
