  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0016                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.410     Re =     1.457 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6061   0.00850   0.00343  -0.0094   0.8571   0.1797
  -4.000  -0.4876   0.00780   0.00273  -0.0065   0.7911   0.2381
  -3.000  -0.3675   0.00729   0.00221  -0.0043   0.7196   0.3030
  -2.000  -0.2460   0.00697   0.00188  -0.0025   0.6463   0.3691
  -1.000  -0.1231   0.00681   0.00169  -0.0012   0.5742   0.4360
   0.000  -0.0000   0.00673   0.00163   0.0000   0.5046   0.5046
   1.000   0.1230   0.00681   0.00169   0.0012   0.4358   0.5740
   2.000   0.2460   0.00697   0.00188   0.0025   0.3693   0.6464
   3.000   0.3675   0.00729   0.00221   0.0043   0.3030   0.7197
   4.000   0.4876   0.00780   0.00272   0.0065   0.2381   0.7911
   5.000   0.6061   0.00850   0.00343   0.0094   0.1797   0.8571
   6.000   0.7210   0.00948   0.00440   0.0134   0.1304   0.9122
   7.000   0.8315   0.01067   0.00558   0.0186   0.0954   0.9556
   8.000   0.9528   0.01224   0.00714   0.0218   0.0704   0.9838
  10.000   1.1716   0.01639   0.01152   0.0311   0.0447   1.0000
  11.000   1.2248   0.01949   0.01486   0.0434   0.0387   1.0000
  12.000   1.2731   0.02501   0.02071   0.0510   0.0343   1.0000
  13.000   1.2948   0.03453   0.03063   0.0539   0.0311   1.0000
  14.000   1.2796   0.04930   0.04584   0.0512   0.0291   1.0000
  15.000   1.2160   0.07023   0.06717   0.0433   0.0280   1.0000
