  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.410     Re =     8.694 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6336   0.00656   0.00222  -0.0028   0.7685   0.0442
  -4.000  -0.5060   0.00614   0.00169  -0.0015   0.6816   0.0716
  -3.000  -0.3793   0.00576   0.00128  -0.0007   0.5956   0.1203
  -2.000  -0.2527   0.00547   0.00099  -0.0003   0.5124   0.1864
  -1.000  -0.1264   0.00525   0.00082  -0.0001   0.4329   0.2676
   0.000  -0.0001   0.00518   0.00076   0.0000   0.3488   0.3503
   1.000   0.1265   0.00525   0.00082   0.0001   0.2679   0.4306
   2.000   0.2529   0.00545   0.00099   0.0003   0.1895   0.5124
   3.000   0.3793   0.00576   0.00128   0.0007   0.1201   0.5953
   4.000   0.5061   0.00614   0.00169   0.0015   0.0718   0.6816
   5.000   0.6336   0.00656   0.00222   0.0028   0.0443   0.7685
   6.000   0.7617   0.00709   0.00289   0.0047   0.0285   0.8490
   7.000   0.8901   0.00774   0.00371   0.0074   0.0203   0.9149
   8.000   1.0174   0.00856   0.00469   0.0115   0.0157   0.9618
  10.000   1.2920   0.01128   0.00776   0.0192   0.0102   0.9988
