  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.576     Re =     1.698 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.3995   0.00685   0.00217  -0.0086   0.9442   0.1022
  -2.000  -0.2683   0.00578   0.00137  -0.0045   0.8598   0.2651
  -1.000  -0.1350   0.00522   0.00096  -0.0018   0.7386   0.4399
   1.000   0.1351   0.00522   0.00096   0.0018   0.4400   0.7388
   2.000   0.2684   0.00577   0.00137   0.0045   0.2654   0.8600
   3.000   0.3996   0.00685   0.00217   0.0086   0.1021   0.9442
   4.000   0.5516   0.00815   0.00339   0.0102   0.0347   0.9846
   6.000   0.8346   0.01755   0.01448   0.0206   0.0143   1.0000
   7.000   0.8262   0.03275   0.03099   0.0321   0.0127   1.0000
   8.000   0.7645   0.05810   0.05679   0.0136   0.0121   1.0000
   9.000   0.7218   0.08394   0.08258  -0.0040   0.0114   1.0000
  10.000   0.7020   0.10622   0.10482  -0.0156   0.0106   1.0000
  11.000   0.7020   0.12680   0.12538  -0.0254   0.0097   1.0000
  12.000   0.7109   0.14861   0.14718  -0.0352   0.0088   1.0000
  13.000   0.7350   0.16892   0.16748  -0.0447   0.0082   1.0000
  14.000   0.7695   0.18797   0.18651  -0.0542   0.0077   1.0000
