  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.576     Re =     3.396 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7092   0.00811   0.00374  -0.0130   0.8885   0.0447
  -4.000  -0.5657   0.00727   0.00269  -0.0082   0.8082   0.0797
  -3.000  -0.4238   0.00658   0.00191  -0.0048   0.7160   0.1472
  -2.000  -0.2829   0.00606   0.00140  -0.0026   0.6205   0.2403
  -1.000  -0.1416   0.00576   0.00113  -0.0011   0.5263   0.3383
   0.000   0.0000   0.00566   0.00104  -0.0000   0.4336   0.4337
   1.000   0.1416   0.00576   0.00113   0.0011   0.3381   0.5262
   2.000   0.2829   0.00606   0.00140   0.0026   0.2401   0.6206
   3.000   0.4238   0.00658   0.00191   0.0048   0.1472   0.7161
   4.000   0.5657   0.00727   0.00269   0.0082   0.0797   0.8082
   5.000   0.7092   0.00811   0.00374   0.0130   0.0447   0.8886
   6.000   0.8525   0.00924   0.00518   0.0202   0.0286   0.9487
   7.000   0.9995   0.01133   0.00777   0.0295   0.0214   0.9870
