  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0016                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.576     Re =     1.698 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6835   0.00949   0.00457  -0.0191   0.8121   0.1363
  -3.000  -0.4161   0.00791   0.00277  -0.0085   0.6612   0.2514
  -2.000  -0.2787   0.00748   0.00230  -0.0050   0.5877   0.3166
  -1.000  -0.1395   0.00725   0.00204  -0.0024   0.5170   0.3822
   0.000  -0.0000   0.00716   0.00195   0.0000   0.4496   0.4495
   1.000   0.1395   0.00725   0.00204   0.0024   0.3821   0.5168
   2.000   0.2787   0.00748   0.00229   0.0050   0.3168   0.5877
   3.000   0.4161   0.00791   0.00277   0.0085   0.2515   0.6614
   5.000   0.6836   0.00949   0.00457   0.0191   0.1362   0.8120
   7.000   0.9160   0.01241   0.00803   0.0397   0.0716   0.9471
   8.000   1.0361   0.01530   0.01127   0.0488   0.0550   0.9922
   9.000   1.1181   0.02055   0.01699   0.0584   0.0458   1.0000
  10.000   1.1229   0.03149   0.02855   0.0652   0.0416   1.0000
