  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.576     Re =     1.698 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6844   0.00924   0.00453  -0.0177   0.9520   0.0570
  -4.000  -0.5494   0.00803   0.00321  -0.0114   0.8922   0.1051
  -3.000  -0.4137   0.00708   0.00226  -0.0069   0.8108   0.1948
  -2.000  -0.2769   0.00645   0.00166  -0.0038   0.7153   0.3035
  -1.000  -0.1388   0.00613   0.00135  -0.0017   0.6143   0.4102
   0.000  -0.0000   0.00603   0.00126  -0.0000   0.5132   0.5133
   1.000   0.1388   0.00613   0.00135   0.0017   0.4102   0.6146
   2.000   0.2770   0.00645   0.00166   0.0038   0.3034   0.7150
   3.000   0.4137   0.00708   0.00226   0.0069   0.1949   0.8108
   4.000   0.5494   0.00803   0.00321   0.0114   0.1051   0.8922
   5.000   0.6845   0.00924   0.00453   0.0177   0.0570   0.9519
   6.000   0.8380   0.01100   0.00652   0.0223   0.0356   0.9850
   8.000   1.0047   0.02218   0.01944   0.0485   0.0236   1.0000
   9.000   0.9444   0.03967   0.03780   0.0472   0.0218   1.0000
  10.000   0.8792   0.06517   0.06365   0.0290   0.0208   1.0000
  11.000   0.8148   0.09005   0.08856   0.0148   0.0199   1.0000
  12.000   0.7500   0.11726   0.11578  -0.0008   0.0180   1.0000
  13.000   0.7290   0.14182   0.14031  -0.0141   0.0163   1.0000
  14.000   0.7337   0.16477   0.16325  -0.0262   0.0141   1.0000
  15.000   0.7509   0.18810   0.18657  -0.0386   0.0123   1.0000
