  
       XFOIL         Version 6.99
  
 Calculated polar for: naca43013                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.400     Re =     1.698 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2825   0.01030   0.00407  -0.0254   0.5643   0.0375
  -4.000  -0.1628   0.00996   0.00352  -0.0222   0.4991   0.0437
  -3.000  -0.0437   0.00972   0.00302  -0.0191   0.4314   0.0501
  -2.000   0.0769   0.00970   0.00278  -0.0167   0.3679   0.0596
  -1.000   0.1959   0.00976   0.00271  -0.0142   0.3069   0.0873
   0.000   0.2916   0.00826   0.00242  -0.0084   0.2592   0.5236
   1.000   0.4093   0.00825   0.00269  -0.0058   0.2326   0.6537
   2.000   0.5279   0.00853   0.00314  -0.0034   0.2115   0.7452
   3.000   0.6497   0.00874   0.00360  -0.0012   0.2045   0.8251
   4.000   0.7669   0.00937   0.00431   0.0017   0.1888   0.8792
   5.000   0.8844   0.00993   0.00503   0.0049   0.1836   0.9247
   6.000   0.9928   0.01067   0.00588   0.0100   0.1763   0.9642
   7.000   1.1074   0.01208   0.00730   0.0131   0.1611   0.9903
   8.000   1.2582   0.01337   0.00870   0.0093   0.1574   0.9976
   9.000   1.3383   0.01478   0.01020   0.0180   0.1507   0.9999
  10.000   1.4069   0.01734   0.01284   0.0268   0.1388   0.9999
  11.000   1.4834   0.02062   0.01633   0.0325   0.1338   0.9999
  12.000   1.5555   0.02497   0.02089   0.0368   0.1285   0.9999
  13.000   1.6000   0.03180   0.02790   0.0402   0.1189   0.9999
  14.000   1.6028   0.04279   0.03922   0.0416   0.1108   0.9999
  15.000   1.6082   0.05423   0.05096   0.0411   0.1076   0.9999
